a,b
"186","PSA: Mad Max: Fury Road is the best action movie I've seen since Terminator 2.  If you haven't seen it, you should fix that."
"187","I liked a @YouTube video from @amctheatres http://t.co/4ymmTGwBhI New Posters Unveiled For TERMINATOR: GENISYS - AMC Movie News"
"188","""@holyjosie: To the girl giving her boyfriend head behind me in the movie theater... CHILL"" LMFAO"
"189","""Line about Terminator being favorite romantic movie had me laughing out loud"" #iartg #books http://t.co/9GeKjXLOvB http://t.co/YjOZvHQ4nL"
"190","RT @hestiahdruid: The new Terminator movie looks awesome! Except where are the dragons?!?!"
"191","Terminator Genisys Movie - Official Trailer 2 http://t.co/XPhfSNG9CO http://t.co/01ynYPIB2h"
"192","Mad Max - best action movie since Terminator 2! #FuryRoad #BurningManGoneBad"
"193","Terminator Genisys Official Trailer 2 (2015) Movie HD http://t.co/v3OD7TMyNW"
"194","The new Terminator movie looks awesome! Except where are the dragons?!?!"
"195","Terminator 3: Rise of the Machines (2003) Full Movie. watch now! http://t.co/4F9b80Ddh5 #WatchMovieOnline"
"196","#Terminator Genisys #ArnoldSchwarzenegger Hot New Art 2015 Movie 25""x14"" #Poster http://t.co/mEuuvm9bN3 #Governor #Actor"
"197","Face changing.
#kronverk #dafi #beautiful #day #terminator #face #favorite #things #movie #kharkov #hehe https://t.co/zqMPpsnCGI"
"198","Kinda want to see the new terminator movie for one soul reason:
@Emilia_Clarke"
"199","#Terminator Genisys #ArnoldSchwarzenegger Hot New Art 2015 Movie 20""x14"" #Poster http://t.co/AZnxmDwCAK #Governor #Actor"
"200","RT @GunsNRoseBuds: Watched Terminator before I slept and had a dream I was in the next movie. I was so badass lol"
"201","237 Skynet Hoodie cyberdyne systems terminator 80s movie 90s All Sizes/Colors http://t.co/WTzZVA5yAd http://t.co/mbu5FlcHRA"
"202","Just watched the movie ""The Guest"" cheesy action in places with a definite Terminator influence. The goth electro soundtrack was awesome."
"203","RT @untitleduser: @mralphafreak @Lexialex Please, who can name an Alien iconic sci-fi movie where the female Terminator saved the day"
"204","@mralphafreak @Lexialex Please, who can name an Alien iconic sci-fi movie where the female Terminator saved the day"
"205","Trailers (MAD MAX: FURY ROAD) - VACATION (2015), TERMINATOR: GENISYS, TRAINWRECK, ENTOURAGE THE MOVIE."
"206","Yo fuck that new Terminator movie"
"207","Red Heat follows in The Terminator's footsteps by giving us a shot of Arnie's ass within moments of the movie starting."
"208","Daenerys is in the new Terminator movie???"
"209","Terminator 2: Judgment Day features the best robot battle of all time. Agree? An archive feature for ya: http://t.co/UPcUDwLnBs"
"210","Done watching Terminator 2 Judgment on Netflix with my sister and dad. That was awesome, just getting prepared for the new Terminator movie!"
"211","RT @peoplenews_info: terminator genisys movie premiere in paris , france  the 19th of june 2015 and arnold schwartznegger is confirmed"
"212","RT @codinghorror: Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
"213","Fuck Jurassic World/Terminator Genisys/Poltergeist/Ant-Man/Pixels &amp; every other summer movie.

I just want to see Mad Max over &amp; over again."
"214","The thing that saddens me about Fury Road is that a few years from now, there'll be another Terminator movie."
"215","I liked a @YouTube video http://t.co/f2BR4Pg9cH Terminator: Genisys Official Trailer #2 (2015) - Arnold Schwarzenegger Movie HD"
"216","A scene near the end of #FuryRoad reminded me of a scene near the end of Terminator: Salvation &amp; no one should be reminded of that movie."
"217","ORIGINAL MOVIE #Poster THE COMEBACK #ArnoldSchwarzenegger Mr. Universe #Terminator http://t.co/R4HE9hMcqR #Governor #Actor"
"218","the new terminator movie looks like it's worth watching (and that's got nothing to do with emilia clarke being in it)"
"219","This movie is still fucking awesome 31 years later #Terminator #MovieNight"
"220","I'd be lying if I said I'm not looking forward to this. Terminator Genisys Movie - Official Trailer http://t.co/JxwoezPIg9"
"221","""Had me laughing out loud. Line about Terminator as favorite romantic movie had me in tears""http://t.co/9GeKjXLOvB http://t.co/YjOZvHQ4nL"
"222","If I've said it once, I've said every time there is a new #Terminator movie: T2 was the perfect conclusion that that story."
"223","The new terminator movie... I'll for sure be the first person in the theater the night it comes out"
"224","Word! ""@tobiias: About that new Sarah Connor poster. And why the new Terminator movie will suck. 
http://t.co/rwysKMWZj1"""
"225","#Terminator Genisys #ArnoldSchwarzenegger Hot New Art 2015 Movie 23""x14"" #Poster http://t.co/JJbyqnK7U0 #Governor #Actor"
"226","About that new Sarah Connor poster. And why the new Terminator movie will suck. 
http://t.co/EilazSxDlM"
"227","@andysignore I JUST DIED TWICE LMAO Btw im Scared of the next terminator movie too like itll erase my childhood... http://t.co/bN0BqvtqSU"
"228","If only #NinjaWarriorUK were more like the movie Ninja Terminator... (Aha ha ha ha ha ha... HA HA HA HA... HA-HAH!) https://t.co/rUfPhoom8u"
"229","The real nightmare apocalypse of the Terminator movie was when Google changed every word on the internet to what it thought we really meant."
"230","RT @codinghorror: Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
"231","Germinater was the original proposed name of the movie Terminator and Stevie was asked to play the lead role #StevieGFacts"
"232","RT @codinghorror: Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
"233","Holy crap mad max was awesome. Two hours of nonstop action. Best action movie since terminator 2."
"234","Terminator Genisys Movie - Official Trailer 2 http://t.co/XPhfSNG9CO http://t.co/XV31VPEIRS"
"235","#Terminator Genisys #ArnoldSchwarzenegger Hot New Art 2015 Movie 25""x14"" #Poster http://t.co/YY11E1XtuW #Governor #Actor"
"236","Watched Terminator before I slept and had a dream I was in the next movie. I was so badass lol"
"237","RT @codinghorror: Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
"238","http://t.co/aWKLHqj3r7: TERMINATOR GENISYS TV Spot... http://t.co/awRCZAOSeC #arnold #genisys #movie #schwarzenegger #sci-fi #terminator"
"239","RT @codinghorror: Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
"240","RT @codinghorror: Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
"241","#Terminator Genisys #ArnoldSchwarzenegger Hot New Art 2015 Movie 18""x14"" #Poster http://t.co/tJnk1NDUf0 #Governor #Actor"
"242","Honestly. Ex Machina and Her, yes, 2013 movie Her, are like the origin story of Skynet in Terminator lol."
"243","#Terminator Genisys #ArnoldSchwarzenegger Hot New Art 2015 Movie 23""x14"" #Poster http://t.co/6NAV2rANoF #Governor #Actor"
"244","The new Terminator film has the absolute worst trailer I have ever seen. Spoiled the entire movie for me. &gt;:("
"245","@job_rot @gazza_d Is that pic from a new terminator movie?"
"246","Terminator Genisys Full Movie
CLICK THE LINK Terminator Genisys Full Movie | 
http://t.co/lObyWOk38a Trailer https://t.co/mZopge73qh"
"247","EVAN 002 #Terminator Genisys - 2015 #ArnoldSchwarzenegger Movie 24""x36"" #Poster http://t.co/d2cvoZ3Cgg #Governor #Actor"
"248","Terminator: Genisys Official Trailer #2 (2015) - Arnold Schwarzenegger Movie HD http://t.co/Ujo3XOPyWP"
"249","@Angie_The_Love Some how sticks his middle finger like the terminator at the end of the 2nd movie"
"250","#Terminator Genisys #ArnoldSchwarzenegger Hot New Art 2015 Movie 25""x14"" #Poster http://t.co/HzoJf0CocE #Governor #Actor"
"251","We think that might be the last time they let the cat sit in on a #Terminator movie marathon! @Terminator #AngryCat http://t.co/KgxeXb6BwN"
"252","Terminator Genisys Movie - Official Trailer 2 
http://t.co/XPhfSNG9CO http://t.co/qGkczpw6Gu"
"253","RT @codinghorror: Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
"254","Terminator Genisys Movie - Official Trailer 2 http://t.co/XPhfSNG9CO http://t.co/cLwpc08s5B"
"255","RT @codinghorror: Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
"256","Terminator Salvation (2009) WATCH FREE FULL MOVIE HERE!! http://t.co/WbU7Wy6XYz #cnninternasional.co"
"257","Terminator Salvation (2009) WATCH FREE FULL MOVIE HERE!! http://t.co/YXYbRPpOYq #cnninternasional.co"
"258","There's only 1 kind of movie for a night like this The Terminator 2: Judgement Day"
"259","237 Skynet Crew Sweatshirt cyberdyne systems terminator movie All Sizes/Colors http://t.co/Yce8SpPiqB http://t.co/GJHZbI3ohT"
"260","RT @UKfilmredcarpet: Check out the new #TerminatorGenisys movie posters! http://t.co/9uZ5SYlmzG http://t.co/EzmSucM0Tw"
"261","@TheRock Would u ever do  a Terminator or Expendables movie?"
"262","Next must watch movie: 
Terminator"
"263","RT @TWC: Check out @Schwarzenegger in the new @Terminator movie, Genisys! Take a sneak peek here: http://t.co/CMmcCxnG4G"
"264","Terminator Salvation: The Official Movie Novelization Foster, Alan Dean Mass Ma http://t.co/UKmR2IxM6g http://t.co/2cKBLzm0zi"
"265","@NECA_TOYS Are there any plans on a T-3000 figure as in the Terminator Genisys movie poster (half men/half robot)? It would be awesome!!!"
"266","Very, very, very awesome movie poster!!!! #Terminator #terminstorgenisys http://t.co/oda3McrOF4"
"267","Terminator Genisys Movie - Official Trailer 2 https://t.co/CNrxdcwRtn via @YouTube
i'll be back"
"268","Terminator Genisys (2015) Full Movie
http://t.co/vV5WYPsM83"
"269","Terminator Genisys (2015) Full Movie
http://t.co/l7n67OKfSJ"
"270","RT @codinghorror: Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
